token,frequency,document_frequency
mapped,2,2
mapper,2,2
master,2,2
matched,2,2
meant,2,2
meet,2,2
member,2,2
min,2,2
mining,2,2
mitigating,2,2
modify,2,2
namespaces,2,2
negligible,2,2
negotiation,2,2
nothing,2,2
noticed,2,2
noting,2,2
objective,2,2
obtained,2,2
obvious,2,2
obviously,2,2
offer,2,2
ongoing,2,2
online,2,2
opening,2,2
opinion,2,2
organized,2,2
orgapachecxf,2,2
otherwise,2,2
outside,2,2
overloaded,2,2
overview,2,2
particularly,2,2
patched,2,2
perfect,2,2
performs,2,2
persist,2,2
pointed,2,2
pom,2,2
pool,2,2
popular,2,2
port,2,2
positive,2,2
powerful,2,2
prediction,2,2
prefer,2,2
preliminary,2,2
presented,2,2
prevents,2,2
privileged,2,2
programming,2,2
proper,2,2
protect,2,2
protocol,2,2
pseudo,2,2
pure,2,2
push,2,2
query,2,2
queue,2,2
range,2,2
rate,2,2
ratio,2,2
realized,2,2
receive,2,2
receives,2,2
refer,2,2
reflection,2,2
regression,2,2
relating,2,2
released,2,2
rely,2,2
remotely,2,2
removed,2,2
rendering,2,2
replacement,2,2
repository,2,2
resolve,2,2
respectively,2,2
retrieving,2,2
retry,2,2
role,2,2
room,2,2
safe,2,2
saved,2,2
scale,2,2
scenario,2,2
section,2,2
segment,2,2
selected,2,2
sense,2,2
share,2,2
shortly,2,2
shown,2,2
similarly,2,2
simpler,2,2
skip,2,2
sleep,2,2
slightly,2,2
solved,2,2
spec,2,2
specifically,2,2
specified,2,2
standalone,2,2
statistic,2,2
subclass,2,2
submodule,2,2
suggested,2,2
supporting,2,2
taken,2,2
team,2,2
tensorflow,2,2
testing,2,2
textual,2,2
though,2,2
throw,2,2
todo,2,2
token,2,2
tps,2,2
trace,2,2
train,2,2
transition,2,2
trouble,2,2
troublesome,2,2
trustworthy,2,2
uncompressed,2,2
understand,2,2
understanding,2,2
unexpected,2,2
unfortunately,2,2
unknown,2,2
unless,2,2
unstructured,2,2
uploaded,2,2
uploading,2,2
usual,2,2
valued,2,2
wait,2,2
website,2,2
welcome,2,2
whether,2,2
whose,2,2
wide,2,2
wikipedia,2,2
wild,2,2
writes,2,2
wrong,2,2
active,2,1
agree,2,1
alignment,2,1
analyser,2,1
applicable,2,1
audit,2,1
authentication,2,1
backend,2,1
backup,2,1
bean,2,1
bounding,2,1
cdf,2,1
certainty,2,1
checkboxes,2,1
chm,2,1
cited,2,1
collected,2,1
combo,2,1
comparator,2,1
composer,2,1
constit,2,1
contributing,2,1
contribution,2,1
convenient,2,1
ctx,2,1
dataformat,2,1
decision,2,1
deeper,2,1
deletion,2,1
deserializer,2,1
desired,2,1
dimensional,2,1
disable,2,1
dsa,2,1
dumping,2,1
editing,2,1
embed,2,1
emf,2,1
eof,2,1
eol,2,1
equation,2,1
escaped,2,1
evidence,2,1
exceeds,2,1
executables,2,1
expands,2,1
explode,2,1
feel,2,1
fewer,2,1
figure,2,1
fileupload,2,1
firebase,2,1
fsf,2,1
fuzzers,2,1
fuzzing,2,1
gagravarr,2,1
generator,2,1
geoparser,2,1
geotagging,2,1
github,2,1
guava,2,1
host,2,1
ifc,2,1
industry,2,1
inheritance,2,1
initialization,2,1
initializes,2,1
insensitive,2,1
interoperability,2,1
intuitive,2,1
intuitively,2,1
iptc,2,1
iterable,2,1
iterator,2,1
jackcess,2,1
jax,2,1
jdom,2,1
jsoup,2,1
larger,2,1
launch,2,1
leading,2,1
legal,2,1
leveraging,2,1
light,2,1
mangling,2,1
manipulated,2,1
measure,2,1
median,2,1
mit,2,1
mitie,2,1
mixture,2,1
monitor,2,1
monitoring,2,1
monolithic,2,1
msparser,2,1
namespaced,2,1
noformat,2,1
npm,2,1
null,2,1
numeric,2,1
ooms,2,1
opcpackage,2,1
opennlp,2,1
operate,2,1
origin,2,1
ossindex,2,1
overriding,2,1
pdxobject,2,1
phonenumbers,2,1
pipesclient,2,1
plugins,2,1
policy,2,1
predicting,2,1
preventive,2,1
profiler,2,1
quartz,2,1
quotation,2,1
reached,2,1
real,2,1
reflected,2,1
removal,2,1
runner,2,1
safeguard,2,1
score,2,1
sed,2,1
sequence,2,1
serial,2,1
session,2,1
shallow,2,1
shift,2,1
singleton,2,1
spanning,2,1
speedup,2,1
sql,2,1
square,2,1
stdin,2,1
str,2,1
stringignorecase,2,1
suffer,2,1
threshold,2,1
timing,2,1
traverse,2,1
truncated,2,1
trusted,2,1
tsv,2,1
unapplicable,2,1
unified,2,1
unsecure,2,1
uribuilder,2,1
urlconnection,2,1
urlfetcher,2,1
util,2,1
vision,2,1
wanting,2,1
waving,2,1
xmpscanner,2,1
abcd,1,1
abnormally,1,1
absence,1,1
acceptable,1,1
accommodating,1,1
accomplish,1,1
accordance,1,1
achieve,1,1
achieves,1,1
achieving,1,1
acm,1,1
act,1,1
activate,1,1
activated,1,1
activating,1,1
actor,1,1
adapted,1,1
additive,1,1
addressed,1,1
adequately,1,1
advanced,1,1
afmparser,1,1
aforementioned,1,1
aforementionned,1,1
afterwards,1,1
ago,1,1
aiff,1,1
aimed,1,1
aka,1,1
aliasing,1,1
align,1,1
allocate,1,1
alone,1,1
alphanumeric,1,1
alternate,1,1
alternatively,1,1
ambiguity,1,1
among,1,1
analysed,1,1
analysing,1,1
anastasija,1,1
answer,1,1
antipattern,1,1
anyayunli,1,1
apis,1,1
appeal,1,1
appear,1,1
appears,1,1
appended,1,1
appender,1,1
appreciate,1,1
appropriate,1,1
appropriately,1,1
approximately,1,1
apps,1,1
appspot,1,1
archive,1,1
archived,1,1
army,1,1
arrange,1,1
artifact,1,1
ascii,1,1
ask,1,1
asking,1,1
associated,1,1
assuming,1,1
asynchronously,1,1
attach,1,1
attachable,1,1
atypical,1,1
augmenting,1,1
auth,1,1
author,1,1
autodetect,1,1
automated,1,1
automating,1,1
avenue,1,1
avg,1,1
avoiding,1,1
backed,1,1
bad,1,1
bandwidth,1,1
bank,1,1
baseline,1,1
basis,1,1
batching,1,1
bearing,1,1
beauty,1,1
became,1,1
becomes,1,1
begin,1,1
begun,1,1
behaviour,1,1
behind,1,1
beleive,1,1
believed,1,1
beta,1,1
bialecki,1,1
bin,1,1
biomedical,1,1
blacklisting,1,1
blank,1,1
bleskes,1,1
bless,1,1
bloated,1,1
blocked,1,1
blocker,1,1
bmc,1,1
bonus,1,1
boolean,1,1
bother,1,1
boundary,1,1
brain,1,1
branch,1,1
breaching,1,1
bringing,1,1
brittle,1,1
broaden,1,1
broken,1,1
btw,1,1
buffered,1,1
bump,1,1
bundling,1,1
bzip,1,1
cad,1,1
cake,1,1
calculation,1,1
came,1,1
capable,1,1
capital,1,1
caption,1,1
capturing,1,1
carried,1,1
caste,1,1
casuses,1,1
catdoc,1,1
caught,1,1
caution,1,1
cborfactory,1,1
cborgenerator,1,1
ceased,1,1
center,1,1
central,1,1
centralize,1,1
cgi,1,1
chain,1,1
challenged,1,1
chance,1,1
changeset,1,1
chaotic,1,1
charron,1,1
cheap,1,1
cheaper,1,1
checkbox,1,1
checked,1,1
checking,1,1
cherry,1,1
chi,1,1
choosed,1,1
christian,1,1
city,1,1
classic,1,1
classloader,1,1
clause,1,1
cleaning,1,1
clear,1,1
clearest,1,1
clearing,1,1
clever,1,1
click,1,1
clicked,1,1
clog,1,1
clone,1,1
closed,1,1
closely,1,1
closing,1,1
clustering,1,1
clutter,1,1
codebase,1,1
coherent,1,1
coincide,1,1
col,1,1
collaborate,1,1
collect,1,1
color,1,1
coming,1,1
committers,1,1
committing,1,1
commonsfileupload,1,1
companding,1,1
comparison,1,1
competition,1,1
complexity,1,1
compression,1,1
compressor,1,1
computational,1,1
computed,1,1
computes,1,1
concerning,1,1
conclude,1,1
conduct,1,1
conference,1,1
conflicting,1,1
conform,1,1
connect,1,1
considerable,1,1
considerably,1,1
consideration,1,1
considering,1,1
consistency,1,1
consists,1,1
consolidating,1,1
constantly,1,1
constructed,1,1
construction,1,1
consumed,1,1
contenthandler,1,1
controller,1,1
convenience,1,1
converge,1,1
converted,1,1
convinced,1,1
cookie,1,1
cooky,1,1
coordinate,1,1
coordination,1,1
corpus,1,1
correctly,1,1
costly,1,1
counterfeit,1,1
counterpart,1,1
counting,1,1
craft,1,1
crafting,1,1
crazy,1,1
crippling,1,1
crlf,1,1
csvs,1,1
cumbersome,1,1
curl,1,1
customer,1,1
customize,1,1
daemon,1,1
dangerous,1,1
datasets,1,1
ddo,1,1
dead,1,1
debugging,1,1
declaration,1,1
decoding,1,1
decorates,1,1
decrease,1,1
dedicated,1,1
deduce,1,1
deep,1,1
definitive,1,1
defitinions,1,1
degrade,1,1
degree,1,1
delimiter,1,1
deliver,1,1
demand,1,1
demonstrate,1,1
dependence,1,1
dependent,1,1
deployed,1,1
deployment,1,1
deprecate,1,1
deriving,1,1
described,1,1
describing,1,1
desktop,1,1
despite,1,1
deteriorate,1,1
detrimental,1,1
development,1,1
deviation,1,1
dictate,1,1
differently,1,1
dig,1,1
digesting,1,1
dih,1,1
dimension,1,1
dir,1,1
disallow,1,1
disc,1,1
dispatch,1,1
displayed,1,1
disproportionate,1,1
distortion,1,1
distributed,1,1
div,1,1
diverse,1,1
diverted,1,1
divided,1,1
dll,1,1
dockerfiles,1,1
dockerized,1,1
documenting,1,1
dot,1,1
doubly,1,1
doubt,1,1
downtime,1,1
draft,1,1
drawer,1,1
drawn,1,1
drop,1,1
dunning,1,1
duplicating,1,1
duplication,1,1
dwg,1,1
ease,1,1
eat,1,1
echoing,1,1
editor,1,1
efgh,1,1
elect,1,1
electronics,1,1
elf,1,1
eliminates,1,1
embedding,1,1
emits,1,1
emitting,1,1
emmits,1,1
employing,1,1
encoder,1,1
encodes,1,1
encounter,1,1
