issue_key,existence,property,executive,summary,description,issue_type,status,resolution,priority,labels,components,created,updated,resolved,votes,watchers,parent_key,comment_count,attachment_count,combined_text,tokens,preprocessed_text,token_count,description_length
TIKA-2369,True,False,False,Define a clean Recogniser interface: for objects from binary data; and for text classification,"As described in TIKA-2360 we should refactor the ObjectRecogniser interface. I propose creating:

1. TextRecogniser (per [~thammegowda] it takes INPUT:text input and OUTPUT:set of metadata key values)
2. ObjectRecogniser (also per Thamme ObjectRecogniser, VideoLabeller, OCR, Caption - INPUT:raw bytes and OUTPUT:set of metadata key values.)

We should of course rectify this with Tika-DL and how that folds in. ",Bug,Open,,Major,,,2017-05-18T02:05:48.305+0000,2021-08-17T13:29:50.247+0000,,0,2,,0,0,"Define a clean Recogniser interface: for objects from binary data; and for text classification As described in TIKA-2360 we should refactor the ObjectRecogniser interface. I propose creating:

1. TextRecogniser (per [~thammegowda] it takes INPUT:text input and OUTPUT:set of metadata key values)
2. ObjectRecogniser (also per Thamme ObjectRecogniser, VideoLabeller, OCR, Caption - INPUT:raw bytes and OUTPUT:set of metadata key values.)

We should of course rectify this with Tika-DL and how that folds in. ",define clean recogniser interface object binary data text classification described refactor object recogniser interface propose creating text recogniser per thammegowda take input text input output metadata key value object recogniser per thamme object recogniser video labeller ocr caption input raw byte output metadata key value course rectify fold,define clean recogniser interface object binary data text classification described refactor object recogniser interface propose creating text recogniser per thammegowda take input text input output metadata key value object recogniser per thamme object recogniser video labeller ocr caption input raw byte output metadata key value course rectify fold,48,412
TIKA-2349,True,False,False,Try to match digests when finding equivalent embedded files in tika-eval Compare,"In tika-eval {{Compare}}, there's some code that tries to find equivalent embedded files.  The challenge is that embedded resource paths may contain different names in different versions of Tika, or they may be at different offsets within the {{List<Metadata>}}.  In the most recent regression run, we had several cases where the {{List<Metadata>}}s were the same size, but the attachments were ordered differently.

Instead of relying solely on position, let's try to match digest keys first, then back off to path names, and finally, back off equal locations in the list, if the lists have the same size.

More areas for improvement will exist for this bit of code...",Improvement,Resolved,Fixed,Trivial,,tika-eval,2017-05-01T16:12:46.643+0000,2021-04-12T13:01:47.899+0000,2017-05-01T16:21:13.200+0000,0,2,,3,0,"Try to match digests when finding equivalent embedded files in tika-eval Compare In tika-eval {{Compare}}, there's some code that tries to find equivalent embedded files.  The challenge is that embedded resource paths may contain different names in different versions of Tika, or they may be at different offsets within the {{List<Metadata>}}.  In the most recent regression run, we had several cases where the {{List<Metadata>}}s were the same size, but the attachments were ordered differently.

Instead of relying solely on position, let's try to match digest keys first, then back off to path names, and finally, back off equal locations in the list, if the lists have the same size.

More areas for improvement will exist for this bit of code...",try match digest finding equivalent embedded file eval compare eval compare code try find equivalent embedded file challenge embedded resource path may contain different name different version may different offset within list metadata recent regression run several case list metadata size attachment ordered differently instead relying solely position let try match digest key first back path name finally back equal location list list size area improvement exist bit code,try match digest finding equivalent embedded file eval compare eval compare code try find equivalent embedded file challenge embedded resource path may contain different name different version may different offset within list metadata recent regression run several case list metadata size attachment ordered differently instead relying solely position let try match digest key first back path name finally back equal location list list size area improvement exist bit code,69,669
TIKA-2322,True,False,True,Video labeling using existing ObjectRecognition,"Currently TIKA supports ObjectRecognition in Images. I am proposing to extend this to support videos. 

Idea is -
1. Extract frames from video and run IncV3 to get labels for these frames. 
2. We average confidence scores of same labels for each frame. 
3. Return results in sorted order of confidence score. 

I am writing code for different modes of frame extractions -
1. Extract center image.
2. Extract frames after every fixed interval.
3. Extract N frames equally divided across video.

We used this approach in [0]. Code in [1]

[0] https://github.com/USCDataScience/hadoop-pot
[1] https://github.com/USCDataScience/video-recognition",Improvement,Resolved,Fixed,Major,memex,parser,2017-04-11T16:50:52.824+0000,2017-05-03T14:51:41.914+0000,2017-05-02T13:52:24.351+0000,0,8,,133,0,"Video labeling using existing ObjectRecognition Currently TIKA supports ObjectRecognition in Images. I am proposing to extend this to support videos. 

Idea is -
1. Extract frames from video and run IncV3 to get labels for these frames. 
2. We average confidence scores of same labels for each frame. 
3. Return results in sorted order of confidence score. 

I am writing code for different modes of frame extractions -
1. Extract center image.
2. Extract frames after every fixed interval.
3. Extract N frames equally divided across video.

We used this approach in [0]. Code in [1]

[0] https://github.com/USCDataScience/hadoop-pot
[1] https://github.com/USCDataScience/video-recognition",video labeling existing object recognition currently support object recognition image proposing extend support video idea extract frame video run inc label frame average confidence score label frame return result sorted order confidence score writing code different mode frame extraction extract center image extract frame every fixed interval extract frame equally divided across video approach code,video labeling existing object recognition currently support object recognition image proposing extend support video idea extract frame video run inc label frame average confidence score label frame return result sorted order confidence score writing code different mode frame extraction extract center image extract frame every fixed interval extract frame equally divided across video approach code,55,641
TIKA-2263,True,False,True,"Sentiment Analysis - Standardize the interface and integrate OpenNLP, CoreNLP with pluggable models","h2. Background
[As per Wikipedia|https://en.wikipedia.org/wiki/Sentiment_analysis]: Sentiment analysis (also known as opinion mining) refers to the use of natural language processing, text analysis and computational linguistics to identify and extract subjective information in source materials. Sentiment analysis is widely applied to reviews and social media for a variety of applications, ranging from marketing to customer service.


h2. Goals
* Create an interface for SentimentAnalyser
* Create a parser for sentiment analysis with pluggable implementations of SentimentAnalyser and its model files
* Provide an implementation from Apache OpenNLP and its default models for english. Make this as default
** Converge the efforts of [~chrismattmann] and [~mensikova.anastasija@gmail.com] in [TIKA-2016| https://issues.apache.org/jira/browse/TIKA-2016]
* Provide an implementation from Stanford CoreNLP and make this as optional (due to its license incompatibility wit AL2.0). Make it attachable at runtime similar to already existing [CoreNLP Named Entity Recogniser|https://wiki.apache.org/tika/TikaAndNER#Using_Stanford_CoreNLP_NER].
** Leave room for plugging other/custom implementations at the runtime

h2. References
* https://issues.apache.org/jira/browse/TIKA-2016
* https://issues.apache.org/jira/browse/TIKA-1787
* http://irds.usc.edu/SentimentAnalysisParser/index.html
* http://nlp.stanford.edu/sentiment/



",Improvement,Open,,Major,NLP; classifier; integration; machine_learning,,2017-02-11T22:18:31.297+0000,2017-02-11T22:18:31.297+0000,,0,1,,0,0,"Sentiment Analysis - Standardize the interface and integrate OpenNLP, CoreNLP with pluggable models h2. Background
[As per Wikipedia|https://en.wikipedia.org/wiki/Sentiment_analysis]: Sentiment analysis (also known as opinion mining) refers to the use of natural language processing, text analysis and computational linguistics to identify and extract subjective information in source materials. Sentiment analysis is widely applied to reviews and social media for a variety of applications, ranging from marketing to customer service.


h2. Goals
* Create an interface for SentimentAnalyser
* Create a parser for sentiment analysis with pluggable implementations of SentimentAnalyser and its model files
* Provide an implementation from Apache OpenNLP and its default models for english. Make this as default
** Converge the efforts of [~chrismattmann] and [~mensikova.anastasija@gmail.com] in [TIKA-2016| https://issues.apache.org/jira/browse/TIKA-2016]
* Provide an implementation from Stanford CoreNLP and make this as optional (due to its license incompatibility wit AL2.0). Make it attachable at runtime similar to already existing [CoreNLP Named Entity Recogniser|https://wiki.apache.org/tika/TikaAndNER#Using_Stanford_CoreNLP_NER].
** Leave room for plugging other/custom implementations at the runtime

h2. References
* https://issues.apache.org/jira/browse/TIKA-2016
* https://issues.apache.org/jira/browse/TIKA-1787
* http://irds.usc.edu/SentimentAnalysisParser/index.html
* http://nlp.stanford.edu/sentiment/



",sentiment analysis standardize interface integrate open nlp core nlp pluggable model background per wikipedia sentiment analysis known opinion mining refers natural language processing text analysis computational linguistics identify extract subjective information source material sentiment analysis widely applied review social medium variety application ranging marketing customer service goal create interface sentiment analyser create parser sentiment analysis pluggable implementation sentiment analyser model file provide implementation open nlp default model english default converge effort chrismattmann mensikova anastasija gmail provide implementation stanford core nlp optional due license incompatibility wit attachable runtime similar already existing core nlp named entity recogniser leave room plugging custom implementation runtime reference,sentiment analysis standardize interface integrate open nlp core nlp pluggable model background per wikipedia sentiment analysis known opinion mining refers natural language processing text analysis computational linguistics identify extract subjective information source material sentiment analysis widely applied review social medium variety application ranging marketing customer service goal create interface sentiment analyser create parser sentiment analysis pluggable implementation sentiment analyser model file provide implementation open nlp default model english default converge effort chrismattmann mensikova anastasija gmail provide implementation stanford core nlp optional due license incompatibility wit attachable runtime similar already existing core nlp named entity recogniser leave room plugging custom implementation runtime reference,102,1424
TIKA-2222,True,False,False,Contributing a XFDL Parser,"I am considering contributing a XFDL parser but I first have a few questions. Feel free to close and let me know if this is not the proper channel for asking such questions.

XFDL files are XML-based forms that can be regular text or base64 encoded.  They contain form field labels, field values, formulas, screen coordinates, etc.   Not everything is relevant so the default XML parser will extract too much text.

My question is about what to store as metadata vs content.    

Some people may want to capture the form field values only while others may feel capturing the field labels are as important.  Because people may be interested in different things, I am thinking of storing each as separate metadata entries.  In doing so, it may make it so that no or very little ""content"" is extracted, which can also be a nuisance to some.    So... would it be acceptable to store specific values as both metadata entries (structured) and content (unstructured)?  That approach would be the most flexible for users, but is there a concern with having information stored in two locations?

As for the metadata entries themselves, I am thinking this XFDL XML representation...

{code:xml}
      <field sid=""FieldID"">
          …
         <value>This is a value.</value>
         <label>This is a label</label>
         …
      </field>
{code}

…could be metadata stored/flatten like this :

{code}
field.FieldID.value= This is a value.
field.FieldID.label= This is a label.
{code}

Any comments on this approach?",Improvement,Open,,Minor,,parser,2016-12-21T18:09:55.177+0000,2016-12-24T04:00:36.210+0000,,0,2,,1,0,"Contributing a XFDL Parser I am considering contributing a XFDL parser but I first have a few questions. Feel free to close and let me know if this is not the proper channel for asking such questions.

XFDL files are XML-based forms that can be regular text or base64 encoded.  They contain form field labels, field values, formulas, screen coordinates, etc.   Not everything is relevant so the default XML parser will extract too much text.

My question is about what to store as metadata vs content.    

Some people may want to capture the form field values only while others may feel capturing the field labels are as important.  Because people may be interested in different things, I am thinking of storing each as separate metadata entries.  In doing so, it may make it so that no or very little ""content"" is extracted, which can also be a nuisance to some.    So... would it be acceptable to store specific values as both metadata entries (structured) and content (unstructured)?  That approach would be the most flexible for users, but is there a concern with having information stored in two locations?

As for the metadata entries themselves, I am thinking this XFDL XML representation...

{code:xml}
      <field sid=""FieldID"">
          …
         <value>This is a value.</value>
         <label>This is a label</label>
         …
      </field>
{code}

…could be metadata stored/flatten like this :

{code}
field.FieldID.value= This is a value.
field.FieldID.label= This is a label.
{code}

Any comments on this approach?",contributing xfdl parser considering contributing xfdl parser first question feel free close let know proper channel asking question xfdl file xml based form regular text base encoded contain form field label field value formula screen coordinate etc everything relevant default xml parser extract much text question store metadata content people may capture form field value others may feel capturing field label important people may interested different thing thinking storing separate metadata entry may little content extracted nuisance acceptable store specific value metadata entry structured content unstructured approach flexible user concern information stored location metadata entry thinking xfdl xml representation code xml field sid field value value value label label label field code metadata stored flatten code field field value value field field label label code comment approach,contributing xfdl parser considering contributing xfdl parser first question feel free close let know proper channel asking question xfdl file xml based form regular text base encoded contain form field label field value formula screen coordinate etc everything relevant default xml parser extract much text question store metadata content people may capture form field value others may feel capturing field label important people may interested different thing thinking storing separate metadata entry may little content extracted nuisance acceptable store specific value metadata entry structured content unstructured approach flexible user concern information stored location metadata entry thinking xfdl xml representation code xml field sid field value value value label label label field code metadata stored flatten code field field value value field field label label code comment approach,127,1508
TIKA-2075,True,False,False,Tika 2.0  - Expose Additional TikaService methods,"TikaService should also expose direct access to wrapped member variables such as ServiceLoader, Parser, and Detector.",Improvement,In Progress,,Major,,,2016-09-10T04:54:29.060+0000,2021-04-12T13:01:49.114+0000,,0,2,,2,0,"Tika 2.0  - Expose Additional TikaService methods TikaService should also expose direct access to wrapped member variables such as ServiceLoader, Parser, and Detector.",expose additional service method service expose direct access wrapped member variable service loader parser detector,expose additional service method service expose direct access wrapped member variable service loader parser detector,15,117
TIKA-2021,False,True,False,Improving accuracy of Tesseract parser for Serial Number and Part Number (Numeric) Extraction,"Tesseract OCR parser works well with images containing English text. However, there is possibility of improvement in case of alphanumeric and numeric content which require training Tesseract with the relevant cases in order to better extract content from images. Such a customization can be helpful in extraction of serial numbers from images of counterfeit electronics and other applications focussing on atypical textual content.",Improvement,Resolved,Fixed,Major,memex,ocr; parser,2016-06-24T21:07:25.193+0000,2016-07-08T22:48:30.789+0000,2016-07-07T06:39:47.756+0000,0,5,,7,0,"Improving accuracy of Tesseract parser for Serial Number and Part Number (Numeric) Extraction Tesseract OCR parser works well with images containing English text. However, there is possibility of improvement in case of alphanumeric and numeric content which require training Tesseract with the relevant cases in order to better extract content from images. Such a customization can be helpful in extraction of serial numbers from images of counterfeit electronics and other applications focussing on atypical textual content.",improving accuracy tesseract parser serial number part number numeric extraction tesseract ocr parser work well image containing english text however possibility improvement case alphanumeric numeric content require training tesseract relevant case order better extract content image customization helpful extraction serial number image counterfeit electronics application focussing atypical textual content,improving accuracy tesseract parser serial number part number numeric extraction tesseract ocr parser work well image containing english text however possibility improvement case alphanumeric numeric content require training tesseract relevant case order better extract content image customization helpful extraction serial number image counterfeit electronics application focussing atypical textual content,49,431
TIKA-2016,True,False,True,A parser that combines Apache OpenNLP and Apache Tika and provides facilities for automatically deriving sentiment from text.,A new project that implements a parser that uses Apache OpenNLP and Apache Tika to perform Sentiment Analysis.,New Feature,Resolved,Fixed,Major,analysis; gsoc2016; memex; parser; sentiment,parser,2016-06-23T19:12:05.552+0000,2017-05-21T15:40:45.186+0000,2017-05-21T15:40:36.639+0000,0,5,,22,0,A parser that combines Apache OpenNLP and Apache Tika and provides facilities for automatically deriving sentiment from text. A new project that implements a parser that uses Apache OpenNLP and Apache Tika to perform Sentiment Analysis.,parser combine open nlp provides facility automatically deriving sentiment text project implement parser open nlp perform sentiment analysis,parser combine open nlp provides facility automatically deriving sentiment text project implement parser open nlp perform sentiment analysis,18,110
TIKA-1993,True,False,True,Image Recognition with Tika ,"Create ""ImageRecognitionParser"" which can have pluggable implementation for core recognition logic.

As the name suggests, this parser should detect objects in the images, and support many implementations + models (similar to what NamedEntityParser did for text).

Supply a default implementation based on Tensorflow with the current state-of-the-art model \[1\].

Links:
\[1\] https://www.tensorflow.org/versions/r0.8/tutorials/image_recognition/index.html#usage-with-python-api




",New Feature,Resolved,Fixed,Major,,parser,2016-06-02T01:33:38.822+0000,2021-03-30T20:26:18.977+0000,2016-08-14T18:48:53.268+0000,0,7,,13,0,"Image Recognition with Tika  Create ""ImageRecognitionParser"" which can have pluggable implementation for core recognition logic.

As the name suggests, this parser should detect objects in the images, and support many implementations + models (similar to what NamedEntityParser did for text).

Supply a default implementation based on Tensorflow with the current state-of-the-art model \[1\].

Links:
\[1\] https://www.tensorflow.org/versions/r0.8/tutorials/image_recognition/index.html#usage-with-python-api




",image recognition create image recognition parser pluggable implementation core recognition logic name suggests parser detect object image support many implementation model similar named entity parser text supply default implementation based tensorflow current state art model link,image recognition create image recognition parser pluggable implementation core recognition logic name suggests parser detect object image support many implementation model similar named entity parser text supply default implementation based tensorflow current state art model link,36,484
TIKA-1978,False,True,True,"Invocation of java.net.URL.equals(Object), which blocks to do domain name resolution, in org.apache.tika.parser.geo.topic.GeoParser.initialize(URL)","Performance - The equals and hashCode methods of URL are blocking
The equals and hashCode method of URL perform domain name resolution, this can result in a big performance hit. See http://michaelscharf.blogspot.com/2006/11/javaneturlequals-and-hashcode-make.html for more information. Consider using java.net.URI instead. 
",Bug,Resolved,Fixed,Critical,,parser,2016-05-19T22:52:10.904+0000,2021-04-12T13:02:09.804+0000,2016-05-25T15:46:52.401+0000,0,4,,12,0,"Invocation of java.net.URL.equals(Object), which blocks to do domain name resolution, in org.apache.tika.parser.geo.topic.GeoParser.initialize(URL) Performance - The equals and hashCode methods of URL are blocking
The equals and hashCode method of URL perform domain name resolution, this can result in a big performance hit. See http://michaelscharf.blogspot.com/2006/11/javaneturlequals-and-hashcode-make.html for more information. Consider using java.net.URI instead. 
",invocation java net url equal object block domain name resolution parser geo topic geo parser initialize url performance equal hash code method url blocking equal hash code method url perform domain name resolution result big performance hit see information consider java net uri instead,invocation java net url equal object block domain name resolution parser geo topic geo parser initialize url performance equal hash code method url blocking equal hash code method url perform domain name resolution result big performance hit see information consider java net uri instead,44,324
TIKA-1954,True,False,False,Build simple stacktrace search interface,We often have users submitting stacktraces but unable to share the triggering documents.  Let's offer a simple search interface to search the stacktraces we have in our corpus so that we can help users (and us) find documents that trigger their stacktraces.,Sub-task,Open,,Minor,,cli; general; server,2016-04-16T01:11:51.251+0000,2016-04-16T01:14:16.996+0000,,0,1,TIKA-1302,1,0,Build simple stacktrace search interface We often have users submitting stacktraces but unable to share the triggering documents.  Let's offer a simple search interface to search the stacktraces we have in our corpus so that we can help users (and us) find documents that trigger their stacktraces.,build simple stacktrace search interface often user submitting stacktraces unable share triggering document let offer simple search interface search stacktraces corpus help user find document trigger stacktraces,build simple stacktrace search interface often user submitting stacktraces unable share triggering document let offer simple search interface search stacktraces corpus help user find document trigger stacktraces,27,257
TIKA-1913,True,False,True,Integrate MIT Information Extraction(MITIE) into Tika to perform Named Entity Recognition,"Hello folks, 

MIT Information Extraction provides support for free state-of-the-art information extraction that includes named entity recognition and binary relation detection.

They contain pre trained models and functions to train new models.
I propose that we can use their precompiled jar or maven central project and supply it at runtime to enable MITIE Named Entity Recognition in Tika.

",New Feature,Resolved,Fixed,Major,features; memex,parser,2016-03-30T21:17:19.358+0000,2016-04-23T18:54:57.693+0000,2016-04-23T18:46:51.634+0000,0,2,,2,0,"Integrate MIT Information Extraction(MITIE) into Tika to perform Named Entity Recognition Hello folks, 

MIT Information Extraction provides support for free state-of-the-art information extraction that includes named entity recognition and binary relation detection.

They contain pre trained models and functions to train new models.
I propose that we can use their precompiled jar or maven central project and supply it at runtime to enable MITIE Named Entity Recognition in Tika.

",integrate mit information extraction mitie perform named entity recognition hello folk mit information extraction provides support free state art information extraction includes named entity recognition binary relation detection contain pre trained model function train model propose precompiled jar maven central project supply runtime enable mitie named entity recognition,integrate mit information extraction mitie perform named entity recognition hello folk mit information extraction provides support free state art information extraction includes named entity recognition binary relation detection contain pre trained model function train model propose precompiled jar maven central project supply runtime enable mitie named entity recognition,48,395
TIKA-1909,True,False,False,Tika 2.0 - Allow Proxy Parser and Detectors to accept Classloaders,Proxy Parsers and Detectors will need to be loaded from specific classloaders in OSGi and multi-classloader environments.  Ensure that classloaders can be passed easily to Proxies.,Improvement,Resolved,Fixed,Major,,,2016-03-26T04:10:02.792+0000,2021-04-12T13:00:05.203+0000,2016-03-26T04:20:32.555+0000,0,2,,2,0,Tika 2.0 - Allow Proxy Parser and Detectors to accept Classloaders Proxy Parsers and Detectors will need to be loaded from specific classloaders in OSGi and multi-classloader environments.  Ensure that classloaders can be passed easily to Proxies.,allow proxy parser detector accept classloaders proxy parser detector loaded specific classloaders osgi multi classloader environment ensure classloaders passed easily proxy,allow proxy parser detector accept classloaders proxy parser detector loaded specific classloaders osgi multi classloader environment ensure classloaders passed easily proxy,21,180
TIKA-1903,False,True,False,Allow for more flexibility in handling embedded metadata objects (e.g. XMP),"On TIKA-1607, we veered a bit from allowing flexible metadata structures to how to handle embedded metadata documents, such as XMP.  Let's use this issue to discuss and design.",Improvement,Open,,Major,,,2016-03-15T19:33:58.252+0000,2016-09-26T18:54:06.400+0000,,0,2,,2,0,"Allow for more flexibility in handling embedded metadata objects (e.g. XMP) On TIKA-1607, we veered a bit from allowing flexible metadata structures to how to handle embedded metadata documents, such as XMP.  Let's use this issue to discuss and design.",allow flexibility handling embedded metadata object xmp veered bit allowing flexible metadata structure handle embedded metadata document xmp let discus design,allow flexibility handling embedded metadata object xmp veered bit allowing flexible metadata structure handle embedded metadata document xmp let discus design,21,176
TIKA-1814,True,False,False,Add a standalone XMPScannerParser,"Several parsers make use of XMP data and normalize it via dc or other standards into our metadata object.  We're currently either relying on dependencies to make sense of multiple XMP packets within a file (PDFBox for PDFParser) or we're just grabbing the first (TiffParser via JempboxExtractor and XMPPacketScanner) or...which other parsers are processing XMP?

It might be useful to extract all XMPPackets from a file and store those raw bytes as Base64 encoded Strings in the Metadata object.  Advanced users could then have access to the raw XMP streams.

For Tika 1.x, unless users configured it, nothing would call it.  For Tika 2.x, once we get the combo configurable parsers set up, a user could configure a combo/additive parser, e.g., a PDFParser that is a combination of our current PDFParser and then this new XMPScannerParser.",Improvement,Open,,Minor,,,2015-12-16T19:13:14.229+0000,2015-12-16T19:13:14.229+0000,,0,1,,0,0,"Add a standalone XMPScannerParser Several parsers make use of XMP data and normalize it via dc or other standards into our metadata object.  We're currently either relying on dependencies to make sense of multiple XMP packets within a file (PDFBox for PDFParser) or we're just grabbing the first (TiffParser via JempboxExtractor and XMPPacketScanner) or...which other parsers are processing XMP?

It might be useful to extract all XMPPackets from a file and store those raw bytes as Base64 encoded Strings in the Metadata object.  Advanced users could then have access to the raw XMP streams.

For Tika 1.x, unless users configured it, nothing would call it.  For Tika 2.x, once we get the combo configurable parsers set up, a user could configure a combo/additive parser, e.g., a PDFParser that is a combination of our current PDFParser and then this new XMPScannerParser.",add standalone xmpscanner parser several parser xmp data normalize via standard metadata object currently either relying dependency sense multiple xmp packet within file pdfbox pdfparser grabbing first tiff parser via jempbox extractor xmppacket scanner parser processing xmp might useful extract xmppackets file store raw byte base encoded string metadata object advanced user access raw xmp stream unless user configured nothing call combo configurable parser user configure combo additive parser pdfparser combination current pdfparser xmpscanner parser,add standalone xmpscanner parser several parser xmp data normalize via standard metadata object currently either relying dependency sense multiple xmp packet within file pdfbox pdfparser grabbing first tiff parser via jempbox extractor xmppacket scanner parser processing xmp might useful extract xmppackets file store raw byte base encoded string metadata object advanced user access raw xmp stream unless user configured nothing call combo configurable parser user configure combo additive parser pdfparser combination current pdfparser xmpscanner parser,75,839
TIKA-1797,True,False,False,Pick best location by analysing context in GeoTopic parser ,"lucene-geo-gazetteer is enhanced to return multiple results for a string. 

GeoTopic parser should start using new fields country code and admin codes to determine best possible locations within context of a document.

Proposal:
1. Get top 3 results for each location string
2. Group all locations on country code, admin code1, admin code2
3. Give priority to most occuring country, admin code1, admin code 2

",Sub-task,Open,,Major,,parser,2015-11-17T21:41:08.646+0000,2015-11-25T23:11:18.814+0000,,0,1,TIKA-1802,0,0,"Pick best location by analysing context in GeoTopic parser  lucene-geo-gazetteer is enhanced to return multiple results for a string. 

GeoTopic parser should start using new fields country code and admin codes to determine best possible locations within context of a document.

Proposal:
1. Get top 3 results for each location string
2. Group all locations on country code, admin code1, admin code2
3. Give priority to most occuring country, admin code1, admin code 2

",pick best location analysing context geo topic parser lucene geo gazetteer enhanced return multiple result string geo topic parser start field country code admin code determine best possible location within context document proposal top result location string group location country code admin code admin code give priority occuring country admin code admin code,pick best location analysing context geo topic parser lucene geo gazetteer enhanced return multiple result string geo topic parser start field country code admin code determine best possible location within context document proposal top result location string group location country code admin code admin code give priority occuring country admin code admin code,53,410
TIKA-1744,True,False,True,Use java.nio.file.Path in TikaInputStream,"This will provide support for the new api for users who need it, and provide better information in I/O operations, e.g. detailed exception if file cannot be read.

- used Path and methods in java.nio.file.Files internally 
- add getPath() method as the counterpart to getFile()
- modified test to use 
",Sub-task,Resolved,Fixed,Minor,java7,core,2015-09-22T22:13:09.986+0000,2015-10-01T14:48:37.991+0000,2015-09-30T15:29:26.603+0000,0,3,TIKA-1726,7,2,"Use java.nio.file.Path in TikaInputStream This will provide support for the new api for users who need it, and provide better information in I/O operations, e.g. detailed exception if file cannot be read.

- used Path and methods in java.nio.file.Files internally 
- add getPath() method as the counterpart to getFile()
- modified test to use 
",java nio file path input stream provide support api user provide better information operation detailed exception file cannot read path method java nio file file internally add path method counterpart file modified test,java nio file path input stream provide support api user provide better information operation detailed exception file cannot read path method java nio file file internally add path method counterpart file modified test,33,302
TIKA-1734,True,False,False,Use java.nio.file.Path in TemporaryResources,"This will provide support for the new api for uses who need it, and provide better information in I/O operations, e.g. detailed exception if temporary file deletion fails.

- used Path and methods in java.nio.file.Files internally 
- add setTemporaryFileDirectory(Path) method
- add createTempFile() method (mimicking Files.createTempFile)
- add unit test for proper deletion of temp files",Sub-task,Resolved,Fixed,Minor,java7,core,2015-09-16T09:06:08.681+0000,2015-09-24T18:39:49.816+0000,2015-09-22T13:32:38.114+0000,0,4,TIKA-1726,4,1,"Use java.nio.file.Path in TemporaryResources This will provide support for the new api for uses who need it, and provide better information in I/O operations, e.g. detailed exception if temporary file deletion fails.

- used Path and methods in java.nio.file.Files internally 
- add setTemporaryFileDirectory(Path) method
- add createTempFile() method (mimicking Files.createTempFile)
- add unit test for proper deletion of temp files",java nio file path temporary resource provide support api provide better information operation detailed exception temporary file deletion fails path method java nio file file internally add temporary file directory path method add create temp file method mimicking file create temp file add unit test proper deletion temp file,java nio file path temporary resource provide support api provide better information operation detailed exception temporary file deletion fails path method java nio file file internally add temporary file directory path method add create temp file method mimicking file create temp file add unit test proper deletion temp file,49,389
TIKA-1722,False,True,False,Tika methods that accept a File needlessly convert it to a URL,"The following methods:
- Tika.detect(File)
- Tika.parse(File)
- Tika.parseToString(File)

Convert the given File to a URL and use the corresponding overloaded method that accepts a URL.
This seems like a shortcut, but essentially does the following:
# Converts the file to a URI
# Converts the URI to a URL
# Calls TikaInputStream.get(URL, Metadata), which then performs the following special handling:
# Checks if the protocol is ""file""
# Tries to convert the URL (back) to a URI
# Creates a File around the URI
# Checks if file.isFile() 
# Calls TikaInputStream.get(File, Metadata)

The special handling in TikaInputStream.get(URL/URI) is a good optimization for in-the-wild file resources, but for internal uses it can be skipped - making Tika call TikaInputStream.get(File, Metadata) directly.",Improvement,Resolved,Fixed,Minor,,core,2015-08-27T00:16:46.639+0000,2015-08-27T09:52:07.316+0000,2015-08-27T09:25:07.728+0000,0,3,,2,1,"Tika methods that accept a File needlessly convert it to a URL The following methods:
- Tika.detect(File)
- Tika.parse(File)
- Tika.parseToString(File)

Convert the given File to a URL and use the corresponding overloaded method that accepts a URL.
This seems like a shortcut, but essentially does the following:
# Converts the file to a URI
# Converts the URI to a URL
# Calls TikaInputStream.get(URL, Metadata), which then performs the following special handling:
# Checks if the protocol is ""file""
# Tries to convert the URL (back) to a URI
# Creates a File around the URI
# Checks if file.isFile() 
# Calls TikaInputStream.get(File, Metadata)

The special handling in TikaInputStream.get(URL/URI) is a good optimization for in-the-wild file resources, but for internal uses it can be skipped - making Tika call TikaInputStream.get(File, Metadata) directly.",method accept file needlessly convert url following method detect file parse file parse string file convert given file url corresponding overloaded method accepts url seems shortcut essentially following convert file uri convert uri url call input stream url metadata performs following special handling check protocol file try convert url back uri creates file around uri check file file call input stream file metadata special handling input stream url uri good optimization wild file resource internal skipped making call input stream file metadata directly,method accept file needlessly convert url following method detect file parse file parse string file convert given file url corresponding overloaded method accepts url seems shortcut essentially following convert file uri convert uri url call input stream url metadata performs following special handling check protocol file try convert url back uri creates file around uri check file file call input stream file metadata special handling input stream url uri good optimization wild file resource internal skipped making call input stream file metadata directly,83,797
